Point,X,Y,Z
A1,0.000,0.50000,0.000
A2,-0.073,0.50000,0.000
A3,-0.074,0.50000,0.001
A4,-0.075,0.50000,0.002
A5,-0.075,0.50000,0.008
A6,-0.074,0.50000,0.011
A7,-0.071,0.50000,0.012
A8,-0.056,0.50000,0.013
A9,-0.050,0.50000,0.014
A10,-0.045,0.50000,0.015
A11,-0.016,0.50000,0.026
A12,-0.014,0.50000,0.027
A13,-0.012,0.50000,0.030
A14,-0.009,0.50000,0.045
A15,-0.008,0.50000,0.060
A16,-0.008,0.50000,0.092
A17,-0.009,0.50000,0.102
A18,-0.010,0.50000,0.112
A19,-0.011,0.50000,0.118
A20,-0.014,0.50000,0.124
A21,-0.018,0.50000,0.128
A22,-0.035,0.50000,0.134
A23,-0.037,0.50000,0.135
A24,-0.037,0.50000,0.137
A25,-0.036,0.50000,0.158
A26,-0.033,0.50000,0.165
A27,-0.026,0.50000,0.170
A28,-0.018,0.50000,0.171
A29,-0.010,0.50000,0.172
A30,-0.005,0.50000,0.172
A31,0.000,0.50000,0.172
A32,0.005,0.50000,0.172
A33,0.010,0.50000,0.172
A34,0.018,0.50000,0.171
A35,0.026,0.50000,0.170
A36,0.033,0.50000,0.165
A37,0.036,0.50000,0.158
A38,0.037,0.50000,0.147
A39,0.037,0.50000,0.137
A40,0.037,0.50000,0.135
A41,0.035,0.50000,0.134
A42,0.018,0.50000,0.128
A43,0.016,0.50000,0.126
A44,0.014,0.50000,0.124
A45,0.011,0.50000,0.118
A46,0.010,0.50000,0.112
A47,0.009,0.50000,0.102
A48,0.008,0.50000,0.092
A49,0.008,0.50000,0.060
A50,0.009,0.50000,0.045
A51,0.012,0.50000,0.030
A52,0.014,0.50000,0.027
A53,0.016,0.50000,0.026
A54,0.031,0.50000,0.020
A55,0.045,0.50000,0.015
A56,0.050,0.50000,0.014
A57,0.056,0.50000,0.013
A58,0.071,0.50000,0.012
A59,0.074,0.50000,0.011
A60,0.075,0.50000,0.008
A61,0.075,0.50000,0.002
A62,0.074,0.50000,0.001
A63,0.073,0.50000,0.000
B1,0.000,-0.50000,0.000
B2,-0.073,-0.50000,0.000
B3,-0.074,-0.50000,0.001
B4,-0.075,-0.50000,0.002
B5,-0.075,-0.50000,0.008
B6,-0.074,-0.50000,0.011
B7,-0.071,-0.50000,0.012
B8,-0.056,-0.50000,0.013
B9,-0.050,-0.50000,0.014
B10,-0.045,-0.50000,0.015
B11,-0.016,-0.50000,0.026
B12,-0.014,-0.50000,0.027
B13,-0.012,-0.50000,0.030
B14,-0.009,-0.50000,0.045
B15,-0.008,-0.50000,0.060
B16,-0.008,-0.50000,0.092
B17,-0.009,-0.50000,0.102
B18,-0.010,-0.50000,0.112
B19,-0.011,-0.50000,0.118
B20,-0.014,-0.50000,0.124
B21,-0.018,-0.50000,0.128
B22,-0.035,-0.50000,0.134
B23,-0.037,-0.50000,0.135
B24,-0.037,-0.50000,0.137
B25,-0.036,-0.50000,0.158
B26,-0.033,-0.50000,0.165
B27,-0.026,-0.50000,0.170
B28,-0.018,-0.50000,0.171
B29,-0.010,-0.50000,0.172
B30,-0.005,-0.50000,0.172
B31,0.000,-0.50000,0.172
B32,0.005,-0.50000,0.172
B33,0.010,-0.50000,0.172
B34,0.018,-0.50000,0.171
B35,0.026,-0.50000,0.170
B36,0.033,-0.50000,0.165
B37,0.036,-0.50000,0.158
B38,0.037,-0.50000,0.147
B39,0.037,-0.50000,0.137
B40,0.037,-0.50000,0.135
B41,0.035,-0.50000,0.134
B42,0.018,-0.50000,0.128
B43,0.016,-0.50000,0.126
B44,0.014,-0.50000,0.124
B45,0.011,-0.50000,0.118
B46,0.010,-0.50000,0.112
B47,0.009,-0.50000,0.102
B48,0.008,-0.50000,0.092
B49,0.008,-0.50000,0.060
B50,0.009,-0.50000,0.045
B51,0.012,-0.50000,0.030
B52,0.014,-0.50000,0.027
B53,0.016,-0.50000,0.026
B54,0.031,-0.50000,0.020
B55,0.045,-0.50000,0.015
B56,0.050,-0.50000,0.014
B57,0.056,-0.50000,0.013
B58,0.071,-0.50000,0.012
B59,0.074,-0.50000,0.011
B60,0.075,-0.50000,0.008
B61,0.075,-0.50000,0.002
B62,0.074,-0.50000,0.001
B63,0.073,-0.50000,0.000
